text,label,notes
"The lecture examples are simple, then the homework jumps five levels harder.",complaint,Synthetic realistic example; mainly frustration or dissatisfaction
"For math, I stopped watching solution videos first and started attempting the problem alone.",study_strategy,Synthetic realistic example; clear study method or learning technique
"For vocabulary-heavy classes, I make my own examples for each term.",study_strategy,Synthetic realistic example; clear study method or learning technique
What app do you use to track assignment deadlines across multiple classes?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
How do I stop feeling like everyone else has school figured out except me?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I want to study tonight but I feel exhausted. How do you convince yourself to do a little bit?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
This class rushes every topic and then acts surprised when people are confused.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Is there a free alternative to Quizlet that works well?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Can someone recommend a planner app that syncs with Google Calendar?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I practice under timed conditions because I know the exam pressure makes me slow.,study_strategy,Synthetic realistic example; clear study method or learning technique
"The rubric is vague, but the grading is strict, which makes no sense.",complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Where can I find beginner-friendly physics practice problems?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What is the best app for organizing class notes by topic?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I am exhausted from trying to balance work, school, and assignments every night.",complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Where can I find free templates for Cornell notes?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Where can I find examples of good lab reports?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
The homework takes forever and barely connects to what we did in class.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Where can I find practice questions for intro Python?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
This semester feels like it is designed to drain everyone.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
"Lecture recordings get posted late, then we are still expected to be ready for the quiz.",complaint,Synthetic realistic example; mainly frustration or dissatisfaction
How do you stay calm when you have too many assignments due at once?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I use spaced repetition because cramming made me forget everything two days after the test.,study_strategy,Synthetic realistic example; clear study method or learning technique
Any tips for getting back confidence before a big exam?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I wish professors understood that students have jobs and other responsibilities.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Having a major project due the same week as two exams is just unfair.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
The professor goes through slides so fast that taking useful notes feels impossible.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
The class discussion posts feel forced and do not help me learn anything.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I feel like I am always catching up and never actually ahead.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What helped you believe you could improve after a bad semester?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
How do you recover after wasting a whole day you planned to use for studying?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I rewrite confusing definitions in plain language before trying to memorize them.,study_strategy,Synthetic realistic example; clear study method or learning technique
I review my notes for ten minutes after class before I leave campus.,study_strategy,Synthetic realistic example; clear study method or learning technique
Online lectures make it feel like I am paying tuition to teach myself.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
The exam questions were worded in such a tricky way that it felt like a trap.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Does anyone know a free app that can turn notes into flashcards?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
How do you stay focused when your phone keeps distracting you?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I need help getting started because the amount of work is making me freeze.,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What helps you not give up on a class that feels impossible?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Can you recommend a book or website for learning discrete math from scratch?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I feel like office hours are not helpful when the answer is just reread the chapter.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
It is annoying when quizzes are due before the lecture that explains the topic.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What is a good site for learning R programming with exercises?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I use real examples from my life to remember abstract concepts.,study_strategy,Synthetic realistic example; clear study method or learning technique
I use the syllabus as a checklist so I know exactly what topics the exam may cover.,study_strategy,Synthetic realistic example; clear study method or learning technique
How can I stop avoiding a subject just because I am bad at it?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Where can I find practice questions for cybersecurity basics?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I do short reviews every other day so I do not have to relearn everything before the exam.,study_strategy,Synthetic realistic example; clear study method or learning technique
I make diagrams from memory for biology because the pictures help me connect the terms.,study_strategy,Synthetic realistic example; clear study method or learning technique
How do you push through boring readings without quitting after one page?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
The course calendar keeps changing and it makes planning impossible.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
How do you rebuild confidence after doing badly on an assignment?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Does anyone know a site with short videos for organic chemistry reactions?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I keep a mistake log for every quiz so I can see the topics I keep getting wrong.,study_strategy,Synthetic realistic example; clear study method or learning technique
How do you keep going when one bad grade ruins your mood for days?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
How do you stay disciplined without waiting until panic kicks in?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
The workload would be fine if the instructions were actually clear.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Any advice for balancing school motivation with a part-time job?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
It is hard to stay motivated when the course feels disorganized.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What app is good for scanning handwritten notes into searchable text?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I feel like I am learning more from random videos than from the actual class.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Can anyone recommend a website that explains machine learning basics with visuals?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
The grading turnaround is so slow that I cannot improve before the next assignment.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I ask myself why each formula works instead of only memorizing when to use it.,study_strategy,Synthetic realistic example; clear study method or learning technique
"I study the hardest topic first while I still have energy, then do easier review later.",study_strategy,Synthetic realistic example; clear study method or learning technique
I compare my notes with the lecture slides to find missing details.,study_strategy,Synthetic realistic example; clear study method or learning technique
How do you get back into a routine after missing a full week of studying?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I study in the library because being at home makes me want to sleep.,study_strategy,Synthetic realistic example; clear study method or learning technique
Are there free practice tests for the TEAS or similar entrance exams?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I do not mind studying hard, but I hate feeling like the target keeps moving.",complaint,Synthetic realistic example; mainly frustration or dissatisfaction
How do you keep a positive mindset after failing a test?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
This class has way too many assignments for the amount of credit it is worth.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Any advice for staying motivated during finals week?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What are some free sites for practicing grammar before an English exam?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I make a formula sheet from memory, then check what I forgot.",study_strategy,Synthetic realistic example; clear study method or learning technique
"I feel like dropping the class, but I also want to try harder. What would you do first?",motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I keep giving up once the material gets hard. How do you push through?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I record myself explaining hard topics and listen back while walking to class.,study_strategy,Synthetic realistic example; clear study method or learning technique
How do you motivate yourself to review notes when there is no immediate deadline?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
How do you make yourself start studying when you already feel behind?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I have three exams coming up and I feel frozen. How should I mentally start?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
"I use practice questions first, then go back to the chapter only for the parts I missed.",study_strategy,Synthetic realistic example; clear study method or learning technique
Some classes make simple topics stressful for no reason.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I use flashcards for facts but practice problems for anything that requires solving.,study_strategy,Synthetic realistic example; clear study method or learning technique
What resource helped you learn Java from the beginning?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Can anyone suggest a good app for organizing PDF readings?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I worked hard on the paper and the only comment I got was good effort.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Is there a good resource for learning SQL joins with examples?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"Before group study, I prepare questions so the session does not become just talking.",study_strategy,Synthetic realistic example; clear study method or learning technique
What website explains accounting problems step by step?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I read the whole chapter and still could not answer half the quiz questions.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
"I color code my notes only after I understand them, not while I am first learning.",study_strategy,Synthetic realistic example; clear study method or learning technique
How do I restart after falling behind in the first month of the semester?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I failed my first quiz and feel discouraged. How do people bounce back?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
"I start assignments early by only reading the instructions on day one, then solving later.",study_strategy,Synthetic realistic example; clear study method or learning technique
"Before exams, I write everything I remember on a blank page, then compare it with my notes.",study_strategy,Synthetic realistic example; clear study method or learning technique
Does anyone use an app that reminds them to review flashcards daily?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Can someone recommend a flashcard app that supports images and diagrams?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I split big chapters into smaller sections and test myself after each one.,study_strategy,Synthetic realistic example; clear study method or learning technique
I use active recall by covering the answer and forcing myself to say it out loud.,study_strategy,Synthetic realistic example; clear study method or learning technique
How do you stay motivated when nobody around you seems serious about school?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I study better when I explain each concept like I am teaching someone who missed class.,study_strategy,Synthetic realistic example; clear study method or learning technique
I create a checklist of weak topics after every practice test.,study_strategy,Synthetic realistic example; clear study method or learning technique
What do you do when anxiety makes it hard to even open the assignment?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
How do you stop feeling embarrassed about asking basic questions?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I need accountability because I keep saying I will study and then I do nothing.,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I need a study routine but I never stick to one. What has worked for you?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I make a one page summary for each unit and review it before doing practice problems.,study_strategy,Synthetic realistic example; clear study method or learning technique
Every class acts like it is the only class students are taking.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Any tips for staying motivated in a class you do not enjoy but still need to pass?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What helps you stay consistent when the class is fully online?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Are there any free mock exams for general chemistry?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I stopped rereading my notes and started closing the notebook, then writing what I remember from each topic.",study_strategy,Synthetic realistic example; clear study method or learning technique
Does anyone know a free AI tool for generating practice questions from notes?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Is there a good website for calculus problems with step-by-step solutions?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I spent hours on the study guide and the test barely used any of it.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I keep opening my laptop and then wasting time. How do I force myself to begin?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
The textbook explains simple ideas in the most confusing way possible.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I summarize each lecture in five bullet points before moving to another class.,study_strategy,Synthetic realistic example; clear study method or learning technique
Does anyone know a tool that can make quizzes from PDFs?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"Instead of highlighting whole paragraphs, I write one sentence explaining the main point.",study_strategy,Synthetic realistic example; clear study method or learning technique
I review wrong answers more than correct ones because that shows what I actually need to fix.,study_strategy,Synthetic realistic example; clear study method or learning technique
What helps you keep studying when your grades are not improving yet?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Does anyone have a weekly study planner template they actually use?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What is a good free tool for summarizing long textbook chapters?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I read the chapter summary first, then read the details with the main idea already in my head.",study_strategy,Synthetic realistic example; clear study method or learning technique
"I plan my study sessions around specific tasks, like ten practice problems, not just study chemistry.",study_strategy,Synthetic realistic example; clear study method or learning technique
What website has good explanations for probability problems?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
How do you deal with feeling like your effort is not paying off?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I do not understand why professors assign expensive books and barely use them.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
"For programming, I comment each line in simple English until I understand the logic.",study_strategy,Synthetic realistic example; clear study method or learning technique
What podcast or playlist helps you study without getting distracted?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I try to predict exam questions from the professor's repeated examples.,study_strategy,Synthetic realistic example; clear study method or learning technique
I am tired of spending money on access codes just to do homework.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Can anyone recommend a note-taking app that works well for lecture slides?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I put my phone across the room during study blocks so I do not keep checking it.,study_strategy,Synthetic realistic example; clear study method or learning technique
I keep comparing my progress to others. How do I focus on my own work?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What helped me was making flashcards the same day as the lecture instead of waiting until exam week.,study_strategy,Synthetic realistic example; clear study method or learning technique
I feel overwhelmed before I even open my notes. How do you get past that?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Group projects always become one person doing the work while everyone else disappears.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What do you tell yourself when the material makes you feel slow?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What is a good website for learning Excel formulas with practice files?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What tool do you use to organize research articles for class projects?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Can someone recommend a study timer app with task tracking?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I make a weekly study schedule every Sunday and adjust it after each quiz.,study_strategy,Synthetic realistic example; clear study method or learning technique
"The slides are basically empty, so I have no idea what to review.",complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I use office hours with specific questions instead of just saying I do not understand.,study_strategy,Synthetic realistic example; clear study method or learning technique
I started using a 25 minute timer because studying for hours without breaks made me lose focus.,study_strategy,Synthetic realistic example; clear study method or learning technique
How do you stop comparing yourself to classmates who understand everything faster?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
The professor expects participation but makes people feel dumb for asking questions.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I hate when the homework system marks the whole answer wrong for one formatting issue.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Are there any free websites for practicing public speaking presentations?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Does anyone know a free resource for nursing dosage calculation practice?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Having multiple exams in one week should not be normal.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
"For coding assignments, I rebuild examples from scratch instead of copying the professor's code.",study_strategy,Synthetic realistic example; clear study method or learning technique
I group my notes by learning objective instead of by the order they were taught.,study_strategy,Synthetic realistic example; clear study method or learning technique
College feels like one deadline after another with no real break.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Where can I find practice exams for college algebra?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I want to do better this semester, but I do not trust myself to stay consistent. Any tips?",motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I quiz myself with old homework questions instead of only reading the solutions.,study_strategy,Synthetic realistic example; clear study method or learning technique
I am tired of discussion boards that feel like busy work every week.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What is a good resource for learning APA citation style?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
How do people study every day without burning out?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Where can I get a simple study schedule template for finals week?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Is there an app that blocks distractions while studying?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I am burned out from studying every night and still not seeing better grades.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
The instructions are so unclear that I spend more time decoding the assignment than doing it.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I am scared I am not smart enough for this major. How do you keep going?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I studied all weekend and the exam still looked nothing like what we practiced.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Can someone recommend a good online whiteboard for studying with classmates?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
I keep turning things in on time but still feel like I am behind in every class.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I explain the topic to my younger sibling because simple explanations show if I really get it.,study_strategy,Synthetic realistic example; clear study method or learning technique
I am frustrated because the practice problems were easy but the test problems were brutal.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I turn headings in the textbook into questions and answer them without looking.,study_strategy,Synthetic realistic example; clear study method or learning technique
I wish feedback was more than just a score with no explanation.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Where can I find simple explanations for data structures topics?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
Where can I find simple examples for writing thesis statements?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What is the first thing you do when you are behind and overwhelmed?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I make mini quizzes from my notes and take them again after a few days.,study_strategy,Synthetic realistic example; clear study method or learning technique
Are there any websites with old biology quizzes for practice?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What is the best free resource for learning anatomy terms?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"For my history class, I make a timeline from memory before checking the textbook again.",study_strategy,Synthetic realistic example; clear study method or learning technique
I hate when professors say everything is important and then test random tiny details.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
How do I make myself care about a required class that has nothing to do with my major?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
How do you build discipline if motivation is not enough?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
What YouTube channel explains statistics in a beginner-friendly way?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I want to be consistent, but I lose motivation after two days. Any advice?",motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
I am honestly drained because even weekends are full of schoolwork.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What mindset helps when you are behind but the deadline is still coming?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
It feels unfair when the exam average is low and nothing gets adjusted.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
I hate when group members wait until the last night to reply.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
What do you do when you feel guilty for resting but too tired to study?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
Where can I find study guides for basic economics?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
"I started studying with one serious friend, and we take turns asking each other questions.",study_strategy,Synthetic realistic example; clear study method or learning technique
Does anyone know a tool for turning lecture recordings into notes?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
It is frustrating when the professor cancels class but still adds extra readings.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Does anyone have advice for studying after a long work shift?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
"After each lecture, I write three things I understood and two questions I still need answered.",study_strategy,Synthetic realistic example; clear study method or learning technique
This class is stressful because every assignment has a different submission rule.,complaint,Synthetic realistic example; mainly frustration or dissatisfaction
Can anyone recommend a simple app for making concept maps?,resource_question,"Synthetic realistic example; asks for study tool, material, app, or resource"
What do you do when you know you need to study but keep procrastinating?,motivation_request,"Synthetic realistic example; asks for motivation, confidence, or accountability help"
